id,year,longitude,latitude
3063,2022,148.12447972684316,-41.68803417504067
2768,2022,144.67225408997183,-41.0035179285416
2842,2022,147.23694422613306,-41.13557027530716
3330,2022,147.2594021082361,-41.11221407792006
2685,2022,146.84527876225695,-41.64850830253941
2529,2022,146.90905914742945,-42.87381035007844
3293,2022,148.04542798184065,-41.1185022849089
2915,2022,145.68196046932218,-41.48860818196614
2763,2022,145.27053206919544,-41.728458362826046
2736,2022,146.64495445389832,-42.57826462160311
2547,2022,146.6934634792408,-42.64923152904856
2723,2022,146.8928894723153,-41.08795956524884
3140,2022,146.39073122849248,-42.908844646159096
2695,2022,146.8273124565746,-43.508020940666825
3157,2022,146.94499175879423,-43.35710397293474
3070,2022,147.87474807785793,-42.06083501795027
3119,2022,147.87025650143732,-42.06083501795027
2823,2022,146.15177936291673,-43.25918760696571
2571,2022,145.55439969897725,-40.92716112939144
2935,2022,147.56303267426847,-41.352962574064094
2554,2022,145.5570946448296,-40.93255102109616
2792,2022,145.61099356187674,-41.90542647379759
2860,2022,147.4300820122188,-41.36104741162117
2540,2022,145.9487601087057,-41.2981653417328
2901,2022,147.1489093282894,-41.91620625720704
2702,2022,147.63669452756625,-41.23169001070795
2090,2022,144.84832388565928,-40.84182117740008
2665,2022,147.55584615199552,-41.178689408944905
2881,2022,146.83719392469987,-43.515207462939784
2724,2022,146.4284604704255,-41.4454890483284
3285,2022,146.1697456685991,-42.153361492214586
2648,2022,146.08620234717597,-41.37901371730355
2893,2022,146.5569195560546,-41.30894512514223
2936,2022,146.4679863429268,-42.48753477790704
2600,2022,146.41768068701606,-43.288832011341654
3252,2022,147.16507900340355,-41.13826522115953
2836,2022,145.72058802653936,-41.191265822922574
3286,2022,145.1672258115217,-41.91890120305939
3066,2022,145.5400266544313,-40.91727966126612
2774,2022,145.21483652158005,-40.94961901149442
2544,2022,147.61603327603154,-41.43740421077132
2625,2022,146.75275228799268,-42.30966835165138
2756,2022,147.72832268654645,-42.07071648607558
2562,2022,144.85551040793223,-40.850804330241274
2636,2022,147.43637021920762,-41.260436099799776
3515,2023,145.52206034874894,-42.615095548252015
3937,2023,145.53733170857896,-42.58275619802371
3806,2023,146.1697456685991,-42.91782779900029
3512,2023,146.5102071612804,-42.47136510279289
3708,2023,145.9316921183074,-42.82799627058834
3575,2023,146.29281486252347,-41.31613164741519
3604,2023,146.96026311862423,-43.35440902708238
3671,2023,145.4654664858494,-42.61329891768378
3684,2023,145.4888226832365,-42.61329891768378
3751,2023,147.05368790817272,-42.720198436494
4147,2023,146.16255914632617,-43.211576896907374
3718,2023,145.82299596892898,-42.846860891554854
3561,2023,145.54541654613604,-42.55850168535248
3414,2023,145.94247190171683,-42.82799627058834
4060,2023,145.5400266544313,-42.55760337006837
4022,2023,145.49690752079357,-42.62318038580909
3866,2023,145.53912833914717,-41.18857087707022
3944,2023,147.72383111012584,-41.994359686925435
4093,2023,145.8292841759178,-42.86482719723725
4066,2023,145.4978058360777,-42.56568820762544
3755,2023,146.15806756990554,-41.30445354872164
3729,2023,147.71754290313703,-41.321521539119914
4143,2023,147.16148574226708,-41.13826522115953
3672,2023,145.84635216631608,-42.87201371951021
3665,2023,145.8481487968843,-42.86392888195313
3721,2023,145.86701341785084,-42.8765052959308
3911,2023,145.57056937409135,-42.56658652290956
3388,2023,145.31365120283317,-42.173124428465215
3619,2023,147.62860969000917,-41.22180854258264
3586,2023,145.79604651040535,-43.19989879821382
3482,2023,147.87025650143732,-41.95932539084477
4108,2023,146.80305794390335,-42.72828327405108
3486,2023,144.876171659467,-41.198452345195534
3455,2023,147.85408682632325,-42.05364849567732
3538,2023,148.17748032860624,-40.84451612325245
3849,2023,146.18142376729264,-41.29547039588044
4003,2023,146.8551602303823,-43.08671107241477
3916,2023,145.85803026500963,-42.87740361121491
3958,2023,145.83108080648606,-42.851352467975445
3481,2023,146.38623965207188,-42.90794633087498
3533,2023,145.04056335646084,-41.03226401763342
3408,2023,144.8078996978739,-41.0035179285416
3629,2023,145.94965842398983,-42.85584404439605
4033,2023,147.20729982175715,-41.16611299496723
4121,2023,145.96672641438806,-42.8675221430896
4053,2023,146.4679863429268,-42.533348857397144
4141,2023,147.70047491273874,-41.14096016701188
3745,2023,147.63489789699804,-41.222706857866754
3412,2023,144.92917226123006,-40.70527725421391
3503,2023,147.8217474760949,-41.280199036050405
3738,2023,146.11584675155194,-42.65821468188976
3430,2023,144.84562893980694,-40.833736339843
4135,2023,145.55529801426133,-42.57826462160311
3256,2023,146.17064398388322,-43.21427184275974
3398,2023,145.4744496386906,-40.96309374075622
4103,2023,146.36468008525304,-43.34273092838883
4116,2023,146.48505433332502,-43.02113405667404
3531,2023,145.2354977731148,-42.26654921801364
3633,2023,145.57056937409135,-42.56119663120485
4142,2023,147.67981366120404,-41.27121588320921
3358,2023,145.97031967552454,-43.01843911082169
3765,2023,145.24178598010366,-42.29170204596899
4024,2023,146.99619572998904,-42.57017978404605
3413,2023,145.51846708761246,-42.63126522336617
3977,2023,145.2354977731148,-42.2782273167072
3997,2023,145.29029500544607,-42.158751383919295
3574,2023,146.63507298577304,-42.37344873682386
3389,2023,145.94786179342157,-42.85764067496429
3485,2023,145.16093760453288,-41.04124717047462
4146,2023,146.04128658297003,-43.32476462270644
3731,2023,145.5382300238631,-41.789543802146184
2614,2023,145.8661151025667,-42.87201371951021
3592,2023,145.2274129355577,-42.274634055570715
3420,2023,145.793351564553,-41.43560758020308
3906,2023,145.60111209375145,-42.583654513307835
4451,2023,145.9298954877392,-42.827097955304225
4140,2023,146.81743098844925,-42.72648664348284
4067,2023,145.8786915165444,-41.27930072076629
3467,2023,147.71754290313703,-41.31613164741519
3698,2023,145.75562232262,-42.71570686007341
3566,2023,145.19597190061353,-41.466150299863145
3614,2023,147.77593339660478,-41.035857278769896
4164,2023,145.80862292438303,-41.43111600378249
3651,2023,145.507687304203,-42.603417449558464
3480,2023,146.05026973581118,-43.334646090831754
4156,2023,145.50319572778238,-42.610603971831424
3395,2023,145.51577214176007,-42.60880734126319
3697,2023,145.74574085449467,-41.45537051645371
3357,2023,146.4787661263362,-43.01754079553755
3405,2023,146.0143371244464,-43.31128989344465
4062,2023,146.8785164277694,-41.40236991469067
3797,2023,146.9872125771479,-41.36014909633704
3376,2023,145.5103822500554,-42.56478989234133
4092,2023,145.5166704570442,-42.55311179364777
3406,2023,144.936358783503,-40.696294101372715
3957,2023,145.7376560169376,-41.52903236975152
4127,2023,145.48522942210002,-42.62587533166145
3620,2023,147.7121530114323,-41.321521539119914
3572,2023,146.5191903141216,-43.028320578947
3522,2023,147.89001943768795,-43.039998677640554
4986,2024,145.21483652158005,-41.710492057143654
4637,2024,146.52008862940573,-42.36446558398268
4601,2024,145.21303989101182,-41.67366113049477
4543,2024,145.2274129355577,-41.710492057143654
4255,2024,147.57920234938263,-42.54772190194305
4723,2024,147.05099296232032,-41.15443489627367
4937,2024,147.16597731868762,-42.24498965119477
4962,2024,144.9103076402635,-40.895720094447256
4819,2024,146.9000759945883,-41.42842105793012
4395,2024,146.63507298577304,-42.2647525874454
4632,2024,147.66184735552162,-40.84092286211596
4398,2024,148.13705614082085,-41.18677424650198
4403,2024,145.79514819512127,-41.371827195030605
4268,2024,145.55170475312485,-41.2891821888916
4323,2024,147.32318249340858,-41.13826522115953
4582,2024,148.23317587622165,-41.15623152684192
4630,2024,144.94983351276477,-41.47064187628375
4371,2024,147.24143580255367,-41.17329951724018
4252,2024,148.18287022031092,-40.83912623154772
4074,2024,146.11135517513134,-42.628570277513816
4733,2024,146.04398152882237,-43.404714682993074
4245,2024,146.55063134906578,-42.35099085472088
4603,2024,148.04093640542004,-41.42572611207777
4236,2024,146.4140874258796,-42.854047413827814
4843,2024,146.86773664435998,-42.12820866425923
4530,2024,145.38821137141514,-41.90632478908172
4874,2024,145.08637743595096,-41.786848856293815
4511,2024,146.39791775076543,-42.10934404329272
4776,2024,145.22202304385303,-41.7077971112913
4197,2024,145.37473664215332,-41.875782069421646
4427,2024,147.65016925682806,-40.83553297041125
4237,2024,147.65016925682806,-40.86787232063955
4560,2024,146.09518550001718,-41.33230132252935
4689,2024,146.6081235272494,-42.2413963900583
4864,2024,148.2421590290628,-41.16251973383075
4433,2024,145.92181065018212,-42.720198436494
4312,2024,144.93815541407122,-41.4823199749773
4778,2024,147.64567768040746,-40.86877063592367
4435,2024,145.35856696703917,-41.89913826680876
4735,2024,145.92899717245507,-42.706723707232214
4797,2024,144.85820535378457,-41.47872671384083
4557,2024,146.50302063900745,-42.97531997718394
4314,2024,146.62159825651122,-42.23690481363769
4260,2024,148.09483532246725,-41.12928206831833
4475,2024,147.36001342005744,-43.24211961656745
3359,2024,145.9442685322851,-42.819911433031265
4789,2024,148.06968249451188,-41.806611792544444
4516,2024,147.64028778870278,-40.86607569007131
4540,2024,146.63776793162538,-42.26744753329777
4844,2024,146.4509183525285,-42.61779049410437
4998,2024,144.9228840542412,-41.48142165969318
4284,2024,145.25166744822894,-41.69971227373422
4380,2024,147.8909177529721,-43.03820204707232
4583,2024,147.04380644004738,-42.49292466961177
4196,2024,146.5784791228735,-42.43094091500751
4588,2024,146.514698737701,-42.28451552369603
4397,2024,145.67118068591276,-41.46525198457903
4633,2024,144.8258660035563,-41.005314559109834
4218,2024,147.19202846192712,-41.415844643952454
4298,2024,147.82354410666312,-41.52184584747856
4262,2024,146.61171678838588,-42.22612503022826
4488,2024,146.33503568087707,-43.34542587424119
4605,2024,147.7121530114323,-41.125688807181845
4455,2024,147.747187307513,-41.98986811050483
4387,2024,146.5209869446898,-42.289007100116635
4547,2024,146.54524145736104,-42.22163345380767
4616,2024,147.88193460013088,-41.20114729104789
4533,2024,147.93852846303042,-41.91890120305939
4437,2024,145.20495505345474,-41.70330553487071
4852,2024,147.14801101300526,-42.486636462622926
4247,2024,145.72687623352817,-41.75720445191787
4610,2024,146.91534735441832,-42.85764067496429
4227,2024,147.26209705408843,-42.99957448985518
4999,2024,144.78544181577092,-40.99722972155275
4930,2024,145.21483652158005,-41.690729120893025
4212,2024,145.60560367017206,-41.45087894003312
4732,2024,147.06446769158214,-41.25324957752683
4374,2024,145.21753146743242,-41.709593741859535
3694,2024,148.06788586394362,-41.80032358555562
4497,2024,147.4911674515389,-41.449980624749
4490,2024,147.44265842619643,-41.13197701417069
4385,2024,145.70352003614107,-41.06101010672525
4464,2024,146.77521017009565,-41.25145294695858
4808,2024,145.36755011988038,-41.90183321266112
4567,2024,145.09536058879218,-40.97567015473389
4358,2024,146.57308923116875,-42.24588796647889
4279,2024,145.24178598010366,-41.71318700299602
4956,2024,145.38102484914214,-41.917104572491155
4506,2024,146.52458020582628,-42.28990541540075
4940,2024,147.83701883592494,-41.531727315603874
4310,2024,146.60542858139706,-42.250379542899495
4870,2024,147.67262713893103,-41.11670565434065
4214,2024,147.89900259052916,-42.173124428465215
4687,2024,145.1932769547612,-41.71318700299602
4906,2024,147.69059344461346,-42.02130914544901
4238,2024,145.72867286409644,-41.42482779679365
4498,2024,146.59914037440825,-42.2413963900583
4341,2024,145.36665180459624,-41.934172562889415
4913,2024,148.2448539749152,-41.18138435479726
4812,2024,146.6979550556614,-41.184079300649614
